StudentID,Year,Company,Package,Status,InterviewMode,Interview_Rounds,Placed_Date
5,2016,Roy-Pillay,20.98,Placed,Offline,4,2024-02-14
5,2016,"Johal, Sha and Misra",18.83,Rejected,Offline,2,2023-05-29
6,2016,"Kaul, Gaba and Sidhu",15.71,Placed,Online,5,2016-11-12
6,2016,Lala Group,33.59,Rejected,Online,4,2017-11-20
6,2016,Dash Group,13.31,Rejected,Offline,2,2023-03-30
7,2016,"Hayre, Bassi and Khurana",3.71,Rejected,Online,2,2024-09-20
7,2016,Tandon Ltd,12.81,Rejected,Offline,2,2021-10-10
7,2016,Chada LLC,6.38,Placed,Online,4,2022-07-07
8,2016,Chana-Bir,10.24,Rejected,Online,2,2025-06-04
8,2016,Parikh Ltd,3.34,Placed,Offline,2,2017-09-16
8,2016,Bhakta-Sastry,6.29,Rejected,Offline,2,2023-02-27
8,2016,"Bhatt, Halder and Vala",16.31,Rejected,Offline,5,2025-02-13
9,2016,Ravi Inc,9.47,Rejected,Offline,3,2020-07-04
9,2016,Char-Magar,13.74,Rejected,Online,5,2016-12-10
9,2016,"Chadha, Rau and Ratti",6.5,Placed,Offline,4,2018-06-07
9,2016,"Acharya, Dora and Oak",38.94,Rejected,Offline,4,2021-04-05
9,2016,Mistry-Sen,6.75,Rejected,Offline,3,2021-09-17
9,2016,"Saraf, Das and Kuruvilla",17.02,Placed,Online,2,2022-01-06
9,2016,Sandal and Sons,3.96,Placed,Offline,2,2019-10-28
9,2016,Shroff and Sons,3.35,Rejected,Offline,4,2017-01-18
10,2016,Bains LLC,35.82,Placed,Online,3,2017-07-23
10,2016,Bava Group,7.07,Rejected,Offline,2,2020-07-08
10,2016,Sangha-Palan,16.18,Rejected,Offline,5,2024-03-13
10,2016,Krish Inc,33.66,Placed,Offline,4,2018-03-17
10,2016,Chokshi-Chada,29.27,Rejected,Offline,3,2020-05-02
11,2016,"Sagar, Naik and Varghese",5.15,Placed,Online,3,2023-04-14
11,2016,"Kar, Wagle and Rana",26.24,Placed,Offline,5,2016-04-17
11,2016,Ravi Inc,8.55,Placed,Offline,4,2017-12-19
12,2016,"Saxena, Naidu and Mall",7.4,Rejected,Online,3,2025-01-27
12,2016,Dugal-Chakrabarti,4.92,Placed,Online,4,2017-04-06
12,2016,Grover-Patla,33.34,Rejected,Offline,2,2020-02-23
12,2016,Gupta-Grover,26.39,Rejected,Offline,2,2021-08-06
12,2016,Buch-Trivedi,8.02,Rejected,Offline,5,2023-04-08
12,2016,Dada LLC,33.32,Rejected,Offline,3,2020-03-04
13,2016,Gupta-Grover,20.56,Placed,Online,3,2016-10-22
13,2016,Deshpande Inc,5.37,Rejected,Offline,3,2019-10-30
13,2016,"Shenoy, Malhotra and Kulkarni",32.54,Rejected,Offline,2,2017-04-20
14,2016,Bhatia LLC,17.02,Placed,Offline,4,2022-07-16
14,2016,"Issac, Sane and Palan",16.44,Rejected,Offline,2,2022-11-12
14,2016,Ray-Bhakta,5.66,Rejected,Offline,3,2025-02-04
14,2016,"Goyal, Iyengar and Jaggi",7.75,Rejected,Online,3,2017-09-15
14,2016,Deep Inc,16.01,Rejected,Online,2,2024-10-12
14,2016,"Acharya, Dora and Oak",24.88,Placed,Offline,2,2018-04-15
15,2016,"Mammen, Misra and Gandhi",7.98,Placed,Online,2,2020-05-14
15,2016,Dhillon-Hari,25.9,Rejected,Offline,2,2017-05-22
15,2016,Virk-Balay,13.11,Rejected,Online,3,2018-05-14
15,2016,"Prabhu, Kuruvilla and Nagar",32.31,Placed,Offline,2,2025-02-07
15,2016,"Mukhopadhyay, Varty and Garg",5.3,Rejected,Offline,4,2023-12-28
15,2016,Chowdhury PLC,7.54,Rejected,Online,2,2023-08-26
15,2016,"Dua, Bhagat and Sundaram",11.38,Rejected,Offline,3,2026-01-30
16,2016,Krish Inc,39.87,Placed,Online,2,2025-07-08
16,2016,Koshy PLC,6.36,Rejected,Online,4,2018-01-06
16,2016,Vora-Amble,28.17,Rejected,Online,3,2018-11-19
16,2016,Bajaj-Saha,8.91,Rejected,Online,4,2018-08-07
16,2016,"Prabhu, Chowdhury and Wali",4.94,Placed,Online,4,2021-05-21
16,2016,Ramanathan-Ganesh,34.82,Placed,Online,2,2024-07-06
16,2016,Devan Ltd,3.38,Rejected,Offline,5,2025-06-10
16,2016,Mahajan-Bose,7.22,Rejected,Online,3,2021-12-11
17,2016,More-Sandal,20.93,Rejected,Offline,3,2018-10-25
17,2016,"Kapadia, Basu and Mukhopadhyay",17.1,Placed,Online,2,2022-03-30
17,2016,"Sood, Date and Batra",21.56,Rejected,Online,2,2017-07-08
17,2016,Vyas Ltd,14.26,Placed,Online,4,2021-10-29
17,2016,"Saraf, Das and Kuruvilla",15.13,Rejected,Online,5,2018-08-03
17,2016,Randhawa-Warrior,38.95,Rejected,Online,4,2025-04-08
17,2016,Narula-Thakkar,4.67,Placed,Online,3,2025-08-31
18,2016,"Acharya, Dora and Oak",18.65,Rejected,Offline,4,2018-11-09
18,2016,Uppal-Basak,39.74,Placed,Offline,5,2019-02-17
18,2016,Bedi-Dhawan,5.18,Rejected,Online,4,2021-04-26
19,2016,Balasubramanian-Borra,7.98,Placed,Online,5,2018-10-09
19,2016,Barad PLC,9.98,Rejected,Online,3,2024-06-16
19,2016,Lala PLC,35.96,Rejected,Online,4,2020-11-14
19,2016,Jhaveri Inc,23.15,Rejected,Offline,4,2025-10-24
19,2016,Varty and Sons,5.27,Rejected,Offline,4,2022-11-12
20,2016,"Pillai, Date and Sachdeva",12.98,Placed,Online,3,2017-05-19
20,2016,Nagar and Sons,26.38,Rejected,Offline,3,2016-08-11
20,2016,Chaudhry-Bava,37.45,Rejected,Offline,5,2024-08-23
21,2016,"Nagar, Palla and Nagi",39.48,Placed,Online,4,2023-04-15
21,2016,"Kar, Wagle and Rana",36.01,Rejected,Online,2,2019-02-01
21,2016,Divan and Sons,11.65,Rejected,Offline,5,2016-08-30
21,2016,"Bhavsar, Taneja and Vora",9.2,Rejected,Offline,5,2023-11-02
21,2016,"Jani, Tank and De",5.88,Rejected,Online,2,2019-02-02
21,2016,Kannan-Jani,7.36,Rejected,Online,2,2018-05-02
21,2016,Mohanty PLC,12.79,Rejected,Online,4,2020-08-23
22,2016,"Mandal, Pillai and Goswami",3.65,Placed,Online,4,2017-12-22
22,2016,Choudhary Group,34.91,Rejected,Online,5,2018-09-27
22,2016,"Bhasin, Sampath and Sood",37.25,Rejected,Offline,5,2025-06-16
22,2016,Bawa and Sons,4.1,Rejected,Offline,4,2022-01-19
22,2016,Maharaj and Sons,4.49,Placed,Online,3,2016-09-18
23,2016,Bedi-Dhawan,4.54,Rejected,Online,3,2021-09-05
23,2016,"Bhatt, Halder and Vala",9.69,Placed,Online,5,2018-10-19
23,2016,Andra-Kalita,10.75,Rejected,Online,3,2022-03-14
23,2016,Gandhi and Sons,33.19,Rejected,Online,4,2025-11-22
23,2016,Kala-Buch,36.96,Placed,Online,3,2022-01-11
23,2016,"Mandal, Pillai and Goswami",5.24,Rejected,Offline,3,2022-05-17
23,2016,Narula-Thakkar,4.94,Rejected,Offline,4,2025-08-20
23,2016,Gole-Rajagopal,39.11,Placed,Online,5,2025-09-26
24,2016,Vora-Zachariah,6.26,Rejected,Offline,3,2023-09-18
24,2016,Balan Group,9.75,Rejected,Offline,2,2020-06-02
24,2016,"Venkataraman, Naik and Chaudhary",7.17,Rejected,Offline,2,2018-03-02
24,2016,Nagi and Sons,17.95,Placed,Offline,2,2016-04-15
24,2016,Gill Inc,3.9,Placed,Online,4,2025-09-18
24,2016,Khatri-Doctor,19.92,Placed,Online,5,2017-04-11
24,2016,Varughese-Khalsa,29.67,Placed,Offline,2,2020-10-22
24,2016,"Kumar, Dash and Krishna",7.06,Placed,Offline,2,2018-11-21
25,2016,Gandhi and Sons,22.8,Rejected,Online,5,2024-10-25
25,2016,Shah PLC,4.5,Rejected,Offline,5,2024-10-24
25,2016,"Acharya, Dora and Oak",37.85,Rejected,Online,4,2021-05-13
25,2016,Issac Group,7.47,Placed,Online,5,2017-11-08
25,2016,Mutti-Bhatt,3.44,Rejected,Online,3,2019-06-06
25,2016,Yohannan-Som,15.4,Placed,Online,5,2022-06-28
25,2016,Dubey Inc,5.58,Placed,Online,2,2017-06-08
26,2016,"Kulkarni, Patil and Kalla",7.78,Rejected,Online,2,2017-10-11
26,2016,"Shenoy, Malhotra and Kulkarni",38.92,Rejected,Offline,5,2025-08-01
26,2016,Borde-Aurora,4.77,Rejected,Online,4,2020-05-01
26,2016,Mohanty PLC,11.91,Rejected,Online,5,2021-02-06
26,2016,Chaudhry LLC,22.22,Rejected,Offline,2,2019-09-27
26,2016,Chand-Banerjee,11.88,Placed,Offline,3,2023-04-24
26,2016,"Acharya, Seth and Grewal",28.8,Rejected,Offline,4,2025-02-28
26,2016,Khare-Kapadia,17.63,Rejected,Offline,2,2016-07-23
27,2016,Andra-Sharaf,28.63,Placed,Offline,3,2017-03-07
27,2016,"Pradhan, Bhandari and Balan",6.98,Rejected,Online,4,2022-01-21
27,2016,Patla Group,17.21,Placed,Offline,5,2019-11-26
27,2016,"Jain, Agrawal and Gandhi",25.15,Placed,Offline,4,2024-07-02
27,2016,"Subramanian, Choudhry and Shere",32.57,Rejected,Offline,2,2018-09-09
27,2016,Shah LLC,8.8,Placed,Offline,4,2022-01-22
28,2016,Batta-Chaudhari,35.21,Placed,Online,4,2018-01-15
28,2016,Verma LLC,38.99,Placed,Offline,2,2022-10-27
28,2016,Chaudhary and Sons,35.28,Rejected,Online,3,2017-06-05
28,2016,Viswanathan Group,28.15,Placed,Online,5,2019-06-10
28,2016,"Hans, Gandhi and Vaidya",34.24,Rejected,Online,5,2020-05-29
28,2016,"Sharaf, Venkatesh and Madan",9.95,Rejected,Online,2,2025-02-14
29,2016,"Chhabra, Yogi and Srivastava",12.34,Rejected,Offline,4,2022-06-22
29,2016,"Lal, Venkataraman and Vora",8.37,Placed,Online,3,2019-10-02
29,2016,"Kalita, Chaudry and Bajwa",22.4,Rejected,Offline,5,2024-05-13
29,2016,Dhillon-Hari,21.14,Placed,Online,2,2021-10-06
30,2016,Warrior PLC,9.37,Placed,Online,5,2025-12-18
30,2016,"Bhatt, Halder and Vala",14.33,Rejected,Offline,3,2017-05-13
30,2016,Tandon Ltd,8.49,Rejected,Offline,2,2022-09-18
30,2016,Seshadri Ltd,13.36,Placed,Offline,2,2024-05-21
31,2016,"Bhavsar, Patla and Sridhar",27.52,Rejected,Online,3,2019-04-23
31,2016,"Kakar, Goel and Gala",26.63,Rejected,Offline,5,2024-11-17
31,2016,Merchant Inc,4.86,Placed,Online,4,2025-11-28
31,2016,Ben Group,13.0,Rejected,Offline,4,2020-12-31
31,2016,"Sidhu, Saha and Rout",17.48,Rejected,Online,3,2020-12-23
31,2016,"Buch, Patil and Chaudry",17.31,Placed,Offline,4,2023-03-18
32,2016,Ganguly PLC,13.68,Rejected,Online,2,2021-11-06
32,2016,Chauhan-Anand,31.47,Rejected,Offline,5,2021-12-16
32,2016,"Mahajan, Char and Buch",36.49,Rejected,Online,4,2025-07-30
32,2016,Verma PLC,19.4,Placed,Offline,3,2021-07-10
32,2016,Kala-Buch,21.91,Placed,Offline,3,2016-03-17
32,2016,Pandey-Narayan,10.47,Rejected,Offline,3,2025-03-24
33,2016,Goel Ltd,18.22,Rejected,Offline,5,2021-01-14
33,2016,Koshy PLC,6.79,Rejected,Offline,4,2018-09-09
33,2016,Krish Inc,26.18,Rejected,Online,4,2019-11-15
33,2016,Munshi-Dora,31.78,Placed,Offline,5,2022-09-19
33,2016,Rajagopalan-Narayan,7.58,Rejected,Online,4,2022-04-26
33,2016,"Bava, Dave and Chadha",12.45,Placed,Offline,3,2016-09-25
34,2016,"Gokhale, Chada and Gopal",29.67,Placed,Offline,3,2020-10-24
34,2016,Dubey Inc,6.59,Rejected,Offline,5,2017-10-05
34,2016,Grewal-Pandit,3.72,Rejected,Offline,2,2017-09-09
34,2016,Parmar Group,16.89,Rejected,Online,4,2017-03-19
34,2016,Goel Ltd,19.38,Placed,Offline,2,2019-11-10
34,2016,Dixit PLC,11.15,Rejected,Offline,2,2025-01-12
34,2016,Mannan-Chaudhari,7.03,Rejected,Offline,3,2016-08-21
34,2016,"Keer, Barman and Hayre",39.66,Rejected,Offline,5,2016-07-03
35,2016,"Saha, Dhillon and Din",25.12,Rejected,Online,2,2024-05-17
35,2016,More-Sandal,18.22,Placed,Online,4,2018-03-08
35,2016,"Narula, Bhakta and Apte",6.31,Placed,Offline,4,2021-06-02
35,2016,Andra-Kalita,14.99,Rejected,Online,5,2021-11-27
35,2016,Devi-Padmanabhan,3.94,Rejected,Online,3,2025-04-01
35,2016,"Kashyap, Gopal and Arya",17.03,Rejected,Online,3,2016-04-01
35,2016,Koshy PLC,5.92,Placed,Offline,3,2018-07-15
35,2016,Bakshi-Biswas,4.11,Rejected,Online,5,2019-11-07
36,2016,Balasubramanian and Sons,3.68,Placed,Offline,3,2018-07-16
36,2016,Sheth LLC,7.26,Rejected,Online,4,2019-09-01
36,2016,Barad PLC,11.16,Rejected,Offline,5,2020-04-22
36,2016,"Mand, Bali and Pandey",6.41,Rejected,Offline,2,2022-12-16
36,2016,Sheth Group,4.89,Placed,Offline,4,2017-10-28
37,2016,"Chauhan, Mukherjee and Lad",3.23,Placed,Offline,2,2020-09-28
37,2016,Dani-Sunder,18.59,Placed,Offline,5,2025-08-15
37,2016,Sarin-Dhar,6.11,Placed,Offline,3,2017-05-09
37,2016,"Narasimhan, Ben and Chaudhary",7.34,Rejected,Offline,3,2023-12-11
37,2016,Narula-Thakkar,4.37,Placed,Online,5,2019-01-26
37,2016,Bhagat PLC,3.46,Rejected,Online,5,2022-12-16
37,2016,Khosla-Kale,18.55,Placed,Offline,3,2025-01-28
38,2016,"Lall, Hegde and Menon",7.95,Rejected,Online,2,2018-11-11
38,2016,Gupta Ltd,10.56,Placed,Online,5,2019-02-19
38,2016,Chaudhry LLC,21.74,Placed,Offline,3,2020-01-24
38,2016,Malhotra-Lall,4.17,Rejected,Online,5,2020-05-19
39,2016,Bhatnagar-Rajan,3.97,Placed,Offline,3,2022-08-03
39,2016,Sheth Group,6.64,Rejected,Offline,3,2025-05-23
39,2016,"Saraf, Das and Kuruvilla",10.1,Rejected,Offline,4,2020-07-31
39,2016,Bahl Inc,14.35,Rejected,Online,4,2019-06-24
39,2016,"Bhardwaj, Vig and Goyal",37.72,Placed,Online,5,2024-02-22
40,2016,Balan Group,14.96,Placed,Online,4,2023-08-24
40,2016,Sachar PLC,4.42,Rejected,Online,5,2024-07-09
40,2016,Patla Group,13.25,Rejected,Offline,2,2018-12-05
40,2016,Parmar Group,16.08,Rejected,Online,4,2021-03-26
40,2016,Patla Group,13.42,Placed,Online,3,2023-04-26
40,2016,Shroff Ltd,14.99,Placed,Online,3,2018-09-29
40,2016,"Sur, Halder and Muni",15.25,Rejected,Online,5,2022-05-19
41,2016,Mutti-Date,33.49,Rejected,Online,4,2023-01-31
41,2016,Subramanian-Gera,4.56,Rejected,Online,4,2022-11-06
41,2016,"Sani, Din and Bora",6.42,Rejected,Online,2,2017-03-14
41,2016,Maharaj and Sons,3.34,Placed,Offline,2,2019-07-06
41,2016,Korpal LLC,36.22,Placed,Offline,3,2025-01-16
41,2016,"Saxena, Naidu and Mall",7.94,Placed,Offline,5,2017-12-06
41,2016,Vaidya Group,17.49,Placed,Online,5,2016-05-20
42,2016,"Rajan, Oommen and Balakrishnan",7.6,Placed,Online,4,2017-05-02
42,2016,"Krishna, Batra and Chand",38.99,Rejected,Offline,4,2017-12-02
42,2016,"Pandya, Batra and Banerjee",27.53,Rejected,Online,5,2017-08-11
42,2016,Sarma Ltd,36.21,Rejected,Offline,5,2016-10-25
42,2016,"Hans, Nagar and Bassi",5.26,Rejected,Online,3,2019-07-14
42,2016,Roy-Pillay,31.8,Rejected,Online,4,2017-10-31
42,2016,Varty-Korpal,12.14,Placed,Online,2,2019-03-17
42,2016,Virk-Balay,16.89,Placed,Online,3,2021-11-19
43,2016,Shroff Ltd,13.53,Rejected,Online,2,2022-11-29
43,2016,Shroff and Sons,5.08,Placed,Online,2,2020-10-08
43,2016,Sagar-Solanki,7.36,Rejected,Offline,2,2025-02-25
44,2016,"Bal, Loyal and Mitra",9.82,Rejected,Offline,4,2018-10-14
44,2016,Agrawal LLC,11.43,Rejected,Offline,2,2022-09-19
44,2016,Dubey Inc,3.76,Rejected,Online,3,2016-11-18
44,2016,"Jain, Agrawal and Gandhi",26.95,Placed,Online,5,2023-02-05
45,2016,Anand-Madan,7.05,Placed,Offline,5,2022-11-03
45,2016,Setty Group,13.66,Placed,Online,3,2019-03-04
45,2016,"Wagle, Raja and Murty",33.26,Rejected,Online,3,2018-07-16
45,2016,Khare PLC,6.41,Rejected,Online,3,2022-01-13
45,2016,"Bhavsar, Taneja and Vora",9.97,Rejected,Offline,4,2022-02-15
46,2016,Mistry-Baria,6.85,Rejected,Online,3,2023-04-12
46,2016,"Krishna, Batra and Chand",21.88,Rejected,Offline,3,2018-07-21
46,2016,"Buch, Patil and Chaudry",8.1,Rejected,Offline,4,2019-02-27
46,2016,"Kalita, Chaudry and Bajwa",21.55,Rejected,Online,2,2016-07-16
46,2016,"Sekhon, Korpal and Patla",7.56,Rejected,Offline,3,2018-03-14
46,2016,"Talwar, Rout and Sundaram",16.1,Placed,Offline,2,2018-06-23
47,2016,Bhagat PLC,5.24,Rejected,Online,3,2021-05-02
47,2016,Choudhry-Sura,6.96,Placed,Offline,4,2023-07-26
47,2016,More-Sandal,18.84,Placed,Offline,2,2018-08-16
47,2016,Ramanathan-Ganesh,35.49,Rejected,Offline,2,2021-03-23
48,2016,Roy-Pillay,28.59,Rejected,Online,3,2020-03-25
48,2016,"Rajan, Oommen and Balakrishnan",7.51,Rejected,Offline,5,2016-09-03
48,2016,Chauhan Group,15.15,Placed,Online,5,2021-03-20
48,2016,Kala LLC,26.54,Placed,Online,5,2022-04-22
48,2016,Solanki LLC,25.22,Rejected,Offline,4,2023-12-25
49,2016,"Ravel, Varkey and Solanki",16.64,Rejected,Online,5,2018-02-21
49,2016,Ahuja and Sons,21.52,Placed,Online,3,2017-11-09
49,2016,"Nagi, Oza and Gill",17.86,Placed,Offline,5,2023-03-03
50,2016,Bhatnagar-Rajan,7.5,Rejected,Offline,5,2024-10-08
50,2016,Shenoy LLC,17.46,Placed,Offline,2,2018-01-13
50,2016,Koshy PLC,6.48,Placed,Online,4,2025-12-29
50,2016,Dada-Babu,5.49,Rejected,Online,2,2024-08-14
50,2016,Pathak-Salvi,6.32,Rejected,Offline,4,2021-08-27
50,2016,Kari-Datta,6.95,Rejected,Offline,2,2018-04-10
50,2016,"Sagar, Naik and Varghese",7.98,Rejected,Online,2,2020-06-21
51,2016,Kothari PLC,5.23,Rejected,Online,2,2018-08-22
51,2016,"Chokshi, Murty and Chada",3.7,Rejected,Online,2,2019-08-16
51,2016,"Contractor, Dass and Bajaj",13.57,Placed,Offline,2,2022-12-07
51,2016,Balan Group,16.85,Placed,Offline,5,2025-07-29
52,2016,"Nanda, Arya and Mital",3.24,Rejected,Online,2,2023-03-21
52,2016,Yohannan-Som,15.13,Placed,Offline,5,2021-11-23
52,2016,Mannan-Chaudhari,3.52,Rejected,Offline,3,2020-10-12
52,2016,"Bahl, Modi and Oak",37.83,Rejected,Offline,2,2024-01-26
52,2016,Upadhyay PLC,11.74,Placed,Online,3,2023-10-12
52,2016,"Yadav, Contractor and Som",14.83,Rejected,Offline,2,2025-07-28
53,2016,"Mammen, Misra and Gandhi",7.52,Rejected,Offline,3,2018-01-20
53,2016,"Saha, Dhillon and Din",37.24,Placed,Online,2,2017-05-11
53,2016,"Keer, Rau and Suri",10.54,Placed,Offline,5,2021-07-28
53,2016,Varty and Sons,4.46,Placed,Online,2,2022-02-12
53,2016,Mutti-Bhatt,5.8,Rejected,Online,4,2016-10-23
53,2016,Dutt Ltd,20.78,Rejected,Offline,5,2024-07-24
54,2016,Pant and Sons,23.96,Rejected,Online,2,2022-04-03
54,2016,Varughese-Khalsa,28.56,Rejected,Online,3,2025-10-01
54,2016,"Kaul, Gaba and Sidhu",14.74,Placed,Online,3,2019-09-14
54,2016,"Borde, Choudhry and Bhagat",13.46,Placed,Offline,2,2016-10-15
55,2016,"Jain, Agrawal and Gandhi",32.46,Rejected,Online,3,2016-03-22
55,2016,Rastogi PLC,8.44,Rejected,Offline,5,2019-03-21
55,2016,Chauhan-Anand,37.56,Rejected,Offline,4,2023-08-19
55,2016,Suresh and Sons,7.19,Rejected,Offline,2,2020-06-19
55,2016,Buch-Trivedi,16.42,Placed,Offline,2,2017-10-27
55,2016,Divan-Dar,16.61,Rejected,Online,3,2026-03-05
55,2016,Sangha Group,5.29,Placed,Offline,3,2022-09-28
55,2016,Sani and Sons,24.07,Rejected,Online,3,2017-09-13
56,2016,Peri-Dhaliwal,5.0,Rejected,Online,5,2023-07-15
56,2016,"Contractor, Pandit and Shanker",4.74,Rejected,Online,5,2026-01-18
56,2016,Mukherjee-Sachar,3.44,Placed,Online,2,2016-06-06
56,2016,Mammen-Rau,6.56,Placed,Online,2,2018-11-11
57,2016,"Ravel, Varkey and Solanki",14.1,Placed,Offline,2,2024-01-31
57,2016,Sahota Ltd,13.23,Rejected,Online,3,2016-12-07
57,2016,"Bhatt, Halder and Vala",11.06,Placed,Offline,3,2020-06-05
57,2016,Dada LLC,38.41,Rejected,Offline,5,2026-01-10
57,2016,Korpal LLC,34.8,Placed,Offline,4,2025-12-14
57,2016,Parmar Group,16.81,Rejected,Online,5,2023-01-19
57,2016,"Kakar, Goel and Gala",30.79,Rejected,Online,2,2017-06-10
58,2016,Gupta-Grover,39.9,Placed,Online,5,2024-08-10
58,2016,"Jain, Agrawal and Gandhi",18.86,Rejected,Offline,4,2026-01-24
58,2016,Lala PLC,36.89,Rejected,Online,5,2016-08-23
58,2016,Dara-Upadhyay,33.22,Placed,Online,4,2016-12-06
59,2016,Deshpande Inc,4.51,Placed,Online,3,2021-03-27
59,2016,"Maharaj, Sampath and Kunda",9.43,Rejected,Online,3,2025-11-30
59,2016,Kumar and Sons,10.0,Rejected,Online,3,2022-10-21
59,2016,"Puri, Luthra and Choudhury",7.26,Placed,Offline,2,2023-09-13
59,2016,Buch-Trivedi,15.48,Rejected,Offline,4,2020-12-08
59,2016,Sagar-Bala,14.55,Rejected,Offline,5,2024-04-18
59,2016,"Grewal, Parekh and Atwal",25.78,Rejected,Online,4,2019-11-07
60,2016,Bhagat PLC,7.96,Placed,Offline,4,2020-04-18
60,2016,Dass Group,7.56,Placed,Offline,2,2017-03-07
60,2016,Sandal and Sons,5.89,Placed,Offline,3,2020-03-27
60,2016,Choudhry-Sura,5.91,Rejected,Offline,4,2024-02-10
60,2016,Ganesan Inc,28.43,Placed,Offline,5,2023-04-20
61,2016,"Tank, Bedi and Suri",14.39,Rejected,Offline,3,2018-12-16
61,2016,Ramakrishnan-Kala,14.12,Rejected,Online,5,2022-06-30
61,2016,Lala Group,20.74,Placed,Online,4,2016-06-15
61,2016,Shah LLC,13.42,Rejected,Offline,3,2021-12-02
62,2016,Naik-Varughese,17.24,Placed,Online,5,2017-03-02
62,2016,"Pradhan, Bhandari and Balan",4.31,Rejected,Online,4,2022-02-17
62,2016,"Dhar, Ahluwalia and Pathak",36.97,Placed,Online,4,2024-12-19
62,2016,Shroff Ltd,14.28,Placed,Offline,3,2021-10-11
62,2016,"Jani, Tank and De",3.54,Rejected,Offline,3,2024-03-14
62,2016,"Lad, Panchal and Shroff",24.42,Rejected,Online,4,2018-11-03
62,2016,Ram Inc,14.62,Placed,Offline,5,2021-01-02
63,2016,"Naik, Hans and Seth",29.88,Rejected,Online,4,2024-07-06
63,2016,Deol-Sharma,9.3,Rejected,Online,4,2020-09-11
63,2016,"Sarin, Vaidya and Sur",37.34,Rejected,Offline,5,2017-07-09
63,2016,Dhawan-Chowdhury,5.38,Placed,Online,4,2017-04-07
63,2016,Ahuja and Sons,28.62,Rejected,Offline,5,2016-12-19
63,2016,"Kashyap, Gopal and Arya",10.47,Rejected,Offline,5,2023-05-28
63,2016,"Hans, Chopra and Kannan",8.69,Placed,Offline,3,2022-05-15
64,2016,"Narasimhan, Ben and Chaudhary",4.23,Rejected,Online,5,2023-11-30
64,2016,Bajaj-Saha,8.41,Rejected,Online,3,2017-02-16
64,2016,Anand and Sons,6.37,Rejected,Offline,4,2019-01-20
64,2016,Parmar Group,16.62,Rejected,Online,5,2020-04-07
64,2016,Dass LLC,21.73,Placed,Offline,2,2022-01-10
64,2016,"Kar, Deol and Kota",15.06,Placed,Online,3,2018-10-23
64,2016,Devan Group,29.82,Rejected,Online,4,2021-05-25
64,2016,Deep Inc,9.06,Placed,Offline,3,2024-11-29
65,2016,"Naik, Hans and Seth",22.15,Rejected,Online,2,2022-07-12
65,2016,Balan PLC,7.71,Rejected,Online,3,2016-04-06
65,2016,Bhagat-Tak,16.19,Rejected,Online,4,2020-08-20
65,2016,Kulkarni Ltd,4.43,Placed,Online,2,2023-12-30
65,2016,Sani and Sons,28.38,Placed,Offline,3,2025-07-13
65,2016,Mutti-Bhatt,4.63,Rejected,Online,5,2025-08-19
66,2016,"Wagle, Gupta and Sunder",36.29,Rejected,Online,3,2017-04-06
66,2016,Dugal-Chakrabarti,4.97,Rejected,Online,3,2018-12-08
66,2016,Choudhary-Naik,28.6,Rejected,Offline,5,2017-01-13
66,2016,Kashyap and Sons,7.3,Rejected,Offline,3,2019-09-10
