Year,Company,Drive_ID,Drive_Mode,Eligible_Branches,Students_Eligible,Students_Applied,Students_Shortlisted,Students_Selected
2016,Jayaraman-Loyal,6c17c45b-2194-47ab-84d0-7bb5c646021c,Offline,"ECE – Robotics,Civil Engineering – Construction Technology,CSE – Mobile Applications & Cloud Technology,CSE – Cloud Technology & Information Security,Electrical & Electronics Engineering (EEE)",1639,259,486,92
2016,"Ravel, Varkey and Solanki",7fa82fbb-df12-4afc-932c-46ce6e91af9f,Offline,"CSE – Artificial Intelligence & Machine Learning,Mechanical Engineering,Computer Engineering – Software Engineering,Mechanical Engineering – Mechatronics,CSE – Artificial Intelligence",611,672,71,200
2016,"Venkataraman, Naik and Chaudhary",78a74216-40c7-4401-9fc5-b80999840072,Offline,"Computer Science & Business Systems,CSE – Artificial Intelligence,CSE – Mobile Applications & Cloud Technology,Electronics & Communication Engineering (ECE),Civil Engineering – Construction Technology",807,335,116,147
2016,"Keer, Rau and Suri",7616f882-9ae7-433a-bd45-2f73f6e20629,Online,"CSE – Artificial Intelligence & Data Engineering,Computer Science & Business Systems,CSE – Cyber Physical Systems,ECE – VLSI Design & Technology,Computer Science & Engineering (CSE)",374,693,329,64
2016,Ratta PLC,d5ab55ce-415c-4455-9db7-8b92c6063440,Offline,"EEE – Electric Vehicles / Microgrid Technologies,Electronics & Communication Engineering (ECE),CSE – Cyber Physical Systems,ECE – VLSI Design & Technology,CSE – Artificial Intelligence",392,1149,454,166
2016,Shan-Suri,1cd8781d-ef88-4292-8b5a-ca15ad86e599,Offline,"CSE – Artificial Intelligence,CSE – Blockchain Technology,CSE – Cyber Physical Systems,Civil Engineering – Environmental Geotechnology,Computer Science & Engineering (CSE)",616,556,254,106
2016,Dass Group,67ea47d6-dfd9-42e7-9deb-16b5fba4264a,Offline,"ECE – Robotics,Mechanical Engineering,Civil Engineering – Environmental Geotechnology,Computer Science & Business Systems,Electrical & Electronics Engineering (EEE)",831,742,486,106
2016,Bhat-Nagi,61b9299e-4319-4290-9069-9f2829f13486,Offline,"CSE – Cloud Technology & Information Security,ECE – VLSI Design & Technology,CSE – AI-Driven DevOps,Computer Science & Engineering (CSE),Electrical & Electronics Engineering (EEE)",1766,164,463,88
2016,"Dhar, Ahluwalia and Pathak",6f0db3ed-9dfc-4412-8c8f-3bf21b96840b,Offline,"Computer Science & Business Systems,CSE – AI-Driven DevOps,Electronics & Communication Engineering (ECE),CSE – Mobile Applications & Cloud Technology,CSE – Internet of Things (IoT)",710,821,463,15
2016,"Taneja, Lalla and Baral",d812915c-671e-4d9f-ab7c-8cd05914891c,Online,"Civil Engineering – Environmental Geotechnology,Civil Engineering,Electrical & Electronics Engineering (EEE),CSE – Internet of Things (IoT),CSE – AI-Driven DevOps",878,606,332,70
2016,"Mandal, Batra and Wali",187edea4-3da6-4c1f-804c-23b2160a6244,Online,"CSE – Cloud Technology & Information Security,Mechanical Engineering,Civil Engineering – Construction Technology,ECE – Robotics,CSE – Blockchain Technology",1087,1237,254,114
2016,Goel Ltd,5d317a55-a6e2-4645-8b91-c3ec0dbc6569,Online,"ECE – Robotics,Computer Engineering – Software Engineering,CSE – AI-Driven DevOps,Electronics & Communication Engineering (ECE),CSE – Blockchain Technology",1686,795,461,120
2016,Raju-Kapadia,2e13eec4-2515-49ee-bf98-4bb1d97158b9,Offline,"CSE – Mobile Applications & Cloud Technology,Mechanical Engineering,CSE – Blockchain Technology,Computer Science & Engineering – Data Science,Civil Engineering – Environmental Geotechnology",293,438,51,97
2016,Dash Group,c805fb14-981e-4adf-885e-79becbd4b836,Online,"Electronics & Communication Engineering (ECE),Civil Engineering,EEE – Electric Vehicles / Microgrid Technologies,CSE – Cloud Technology & Information Security,CSE – Cyber Physical Systems",261,171,349,31
2016,"Hayre, Bassi and Khurana",649e51e7-96a0-4d70-a22a-fab3c4096b1d,Online,"CSE – Artificial Intelligence & Machine Learning,Computer Science & Business Systems,Electrical & Electronics Engineering (EEE),Computer Science & Engineering (CSE),Electronics & Communication Engineering (ECE)",1927,1008,431,9
2016,Deo-Prakash,b841d27f-6d24-4ddb-8f48-0fff45d15071,Offline,"Computer Science & Engineering – Data Science,Civil Engineering – Construction Technology,Electronics & Communication Engineering (ECE),Electrical & Electronics Engineering (EEE),Computer Science & Business Systems",222,755,106,196
2016,Gill Inc,6fc83475-57ac-416c-a2cf-2234587713e6,Online,"CSE – Blockchain Technology,Electrical & Electronics Engineering (EEE),CSE – Mobile Applications & Cloud Technology,CSE – Internet of Things (IoT),CSE – Artificial Intelligence & Machine Learning",1568,888,399,183
2016,Rajagopalan-Narayan,3660ad1d-c57a-4557-abc4-9ebe80b61322,Offline,"Computer Science & Engineering (CSE),CSE – Artificial Intelligence & Machine Learning,CSE – AI-Driven DevOps,CSE – Cyber Physical Systems,Computer Science & Business Systems",1301,604,84,98
2016,"Shankar, Yogi and Thakkar",2040a8c1-9010-4d79-b542-2e199b13033b,Online,"Civil Engineering,CSE – Cloud Technology & Information Security,EEE – Electric Vehicles / Microgrid Technologies,CSE – Blockchain Technology,Electrical & Electronics Engineering (EEE)",1392,331,487,70
2016,"Chawla, Lad and Rajagopal",dc88c881-08ff-45ab-865b-ccc5f2d1b8ba,Offline,"Computer Science & Engineering – Data Science,Civil Engineering – Environmental Geotechnology,CSE – Artificial Intelligence & Data Engineering,CSE – Blockchain Technology,Electrical & Electronics Engineering (EEE)",1073,324,422,145
2016,"Prasad, Das and Keer",ecfe19b5-fd5b-4ae0-9d9b-9b6f82b5f980,Online,"CSE – Cyber Physical Systems,Mechanical Engineering – Robotics,Computer Engineering – Software Engineering,ECE – VLSI Design & Technology,ECE – Robotics",1098,806,52,64
2016,Vora-Zachariah,60a4ea5b-79dc-449d-9cd3-ab559f511ad5,Offline,"CSE – Artificial Intelligence & Machine Learning,Mechanical Engineering – Robotics,CSE – Internet of Things (IoT),ECE – Robotics,Mechanical Engineering – Mechatronics",1701,1040,250,175
2016,"Hayre, Mohan and Walla",52e686a1-2c78-4783-beaa-032bafcca5e6,Offline,"Civil Engineering,Civil Engineering – Construction Technology,Computer Science & Engineering – Data Science,ECE – VLSI Design & Technology,Mechanical Engineering – Robotics",1180,1001,425,61
2016,Dugal-Chakrabarti,5e73045e-b7d0-4fd1-a19a-69eda283938f,Offline,"CSE – Internet of Things (IoT),Mechanical Engineering,CSE – Artificial Intelligence,ECE – VLSI Design & Technology,Electronics & Communication Engineering (ECE)",1032,1098,465,136
2016,Tandon Ltd,f728fe69-7f2c-4ef6-8d44-a0b24c43ed84,Online,"Electronics & Communication Engineering (ECE),Computer Science & Engineering (CSE),CSE – Blockchain Technology,ECE – VLSI Design & Technology,Computer Science & Business Systems",1121,1305,279,168
2016,"Cheema, Dutt and Korpal",dc0ee743-b2ea-4e09-95dc-e5351cbdc95f,Online,"CSE – Internet of Things (IoT),EEE – Electric Vehicles / Microgrid Technologies,CSE – Mobile Applications & Cloud Technology,Mechanical Engineering – Robotics,CSE – Cyber Physical Systems",402,1265,180,180
2016,Johal-Dey,7bf73c4a-8d41-408b-bca1-ce482e76718a,Offline,"Mechanical Engineering – Mechatronics,CSE – Cyber Physical Systems,CSE – AI-Driven DevOps,Computer Science & Business Systems,CSE – Artificial Intelligence",479,1239,58,85
2016,Nagy Inc,2d997aae-b85c-45d6-9a43-d0fda216b000,Online,"CSE – Artificial Intelligence & Machine Learning,CSE – Artificial Intelligence & Data Engineering,Computer Science & Engineering – Data Science,Civil Engineering,Computer Science & Engineering (CSE)",1700,339,433,89
2016,Solanki LLC,739beac2-8d8c-4dc9-94b2-9f1075ad7cbd,Offline,"Electrical & Electronics Engineering (EEE),Mechanical Engineering – Mechatronics,Computer Science & Business Systems,Computer Engineering – Software Engineering,EEE – Electric Vehicles / Microgrid Technologies",1148,1075,279,116
2016,"Narasimhan, Ben and Chaudhary",6f5d6040-26c0-4fd8-bf8b-8d11d9aaa7c5,Offline,"ECE – Robotics,Civil Engineering,CSE – Blockchain Technology,EEE – Electric Vehicles / Microgrid Technologies,Computer Science & Business Systems",1379,635,302,27
2016,Balasubramanian-Borra,2e8814e7-c808-4fc9-8ddc-408a9303d08f,Offline,"CSE – Cyber Physical Systems,Electronics & Communication Engineering (ECE),ECE – VLSI Design & Technology,Mechanical Engineering – Robotics,Civil Engineering",1778,168,297,146
2016,Dubey Inc,3f87aebb-903f-4f35-aa04-729cab1ad655,Online,"Civil Engineering,CSE – Artificial Intelligence,ECE – VLSI Design & Technology,Civil Engineering – Environmental Geotechnology,Computer Science & Engineering – Data Science",374,616,291,54
2016,"Choudhary, Dave and Johal",4bea394d-e368-4249-9cd0-8adf4419d74b,Online,"Computer Engineering – Software Engineering,CSE – Cyber Physical Systems,Mechanical Engineering,Mechanical Engineering – Robotics,CSE – AI-Driven DevOps",1925,306,89,9
2016,"Khosla, Venkataraman and Choudhry",6a1cb9d2-ce28-4519-9dc6-2185e6048b56,Online,"CSE – Artificial Intelligence,EEE – Electric Vehicles / Microgrid Technologies,CSE – AI-Driven DevOps,CSE – Artificial Intelligence & Data Engineering,Civil Engineering",1896,1500,319,165
2016,Subramanian-Gera,87bbfdaf-1dc3-45c1-b9e8-54e96f2f50cd,Offline,"CSE – Artificial Intelligence & Data Engineering,Computer Science & Business Systems,CSE – Mobile Applications & Cloud Technology,CSE – Internet of Things (IoT),Civil Engineering",1116,1478,252,44
2016,"Prasad, Sankaran and Choudhary",00761f9f-b766-49a3-8114-5b7d95d2d4d8,Offline,"CSE – Blockchain Technology,EEE – Electric Vehicles / Microgrid Technologies,Civil Engineering – Environmental Geotechnology,CSE – Internet of Things (IoT),ECE – Robotics",1549,940,239,64
2016,"Bail, Dada and Gaba",81716bc4-7a01-4e08-a1d7-fbb434ff87c1,Online,"CSE – Mobile Applications & Cloud Technology,Civil Engineering,Mechanical Engineering,ECE – Robotics,EEE – Electric Vehicles / Microgrid Technologies",1178,1059,483,150
2016,Viswanathan LLC,9ac3dc25-308e-44f3-bf0a-0a0e41ab0f58,Online,"CSE – Artificial Intelligence & Machine Learning,Civil Engineering,Electrical & Electronics Engineering (EEE),Mechanical Engineering – Mechatronics,Civil Engineering – Construction Technology",1430,861,112,94
2016,"Menon, Murty and Borah",a2003f79-6ab9-4876-85f4-c601564c3248,Online,"Mechanical Engineering – Mechatronics,EEE – Electric Vehicles / Microgrid Technologies,Civil Engineering – Environmental Geotechnology,CSE – Internet of Things (IoT),CSE – Blockchain Technology",808,245,411,56
2016,Khalsa LLC,f5d7cd79-a894-43b5-a1bf-bd48964a78f3,Online,"Computer Science & Engineering (CSE),CSE – Artificial Intelligence & Data Engineering,EEE – Electric Vehicles / Microgrid Technologies,Computer Engineering – Software Engineering,CSE – Cloud Technology & Information Security",779,749,314,45
2016,Mani-Sathe,7ae148c8-8160-437c-918a-b337b3b64456,Online,"Mechanical Engineering – Mechatronics,Computer Engineering – Software Engineering,Mechanical Engineering – Robotics,Electronics & Communication Engineering (ECE),CSE – Artificial Intelligence & Machine Learning",713,759,410,24
2016,"Bahl, Modi and Oak",33ec13ec-1a17-454f-a8f2-6acaac74bcb2,Online,"ECE – Robotics,CSE – AI-Driven DevOps,Mechanical Engineering – Robotics,Mechanical Engineering,CSE – Cyber Physical Systems",535,1282,124,33
2016,Korpal Inc,e38640b3-17f8-4b55-91f3-5ee503ffc536,Offline,"ECE – VLSI Design & Technology,Civil Engineering – Construction Technology,Computer Science & Business Systems,CSE – Cyber Physical Systems,Mechanical Engineering",1643,1388,425,174
2016,Loyal-Soni,61e603dd-5070-4740-a558-d61fdb277281,Online,"Civil Engineering,Mechanical Engineering – Robotics,ECE – VLSI Design & Technology,CSE – Artificial Intelligence & Data Engineering,CSE – Internet of Things (IoT)",1219,282,226,157
2016,Deshpande Inc,5d63228a-56a6-477c-81da-935900dd2d40,Online,"CSE – Cyber Physical Systems,Electrical & Electronics Engineering (EEE),Computer Science & Engineering (CSE),Computer Engineering – Software Engineering,Civil Engineering – Environmental Geotechnology",1877,1030,175,140
2016,Goel and Sons,145af870-a704-4a5c-bf16-7ed47b2c009e,Offline,"Electronics & Communication Engineering (ECE),ECE – VLSI Design & Technology,CSE – AI-Driven DevOps,Computer Science & Engineering (CSE),Civil Engineering – Environmental Geotechnology",1912,192,199,134
2016,Bhatti and Sons,cd9335d4-029b-4e37-900a-96dd19cd887c,Online,"Civil Engineering,Mechanical Engineering,CSE – Artificial Intelligence & Data Engineering,Mechanical Engineering – Robotics,CSE – Internet of Things (IoT)",1728,491,331,27
2016,Garde-Bera,484c7eb2-3757-412d-890f-6074e973af1b,Online,"Electrical & Electronics Engineering (EEE),ECE – VLSI Design & Technology,CSE – Internet of Things (IoT),Civil Engineering – Construction Technology,Computer Science & Business Systems",1629,1471,474,138
2016,"Chokshi, Murty and Chada",deca7f4a-c2a0-4995-ae76-50f03d4bac45,Offline,"CSE – Artificial Intelligence & Machine Learning,CSE – Artificial Intelligence,Mechanical Engineering – Robotics,Computer Engineering – Software Engineering,Mechanical Engineering – Mechatronics",1178,1476,157,154
2016,"Hayre, Dhawan and Nair",38522e6d-88f2-4473-a935-6365dd4aeaba,Offline,"Civil Engineering – Environmental Geotechnology,Civil Engineering,CSE – Artificial Intelligence,CSE – Artificial Intelligence & Data Engineering,EEE – Electric Vehicles / Microgrid Technologies",1587,952,142,56
2016,Anand-Madan,ecf0a3f8-c349-484c-a262-9314c02954b7,Online,"CSE – Cloud Technology & Information Security,Computer Science & Engineering – Data Science,Civil Engineering,Computer Science & Engineering (CSE),CSE – Artificial Intelligence",368,364,175,74
2016,Merchant Inc,b61ca0b6-e60a-4834-b3ab-2c6edb29aa8e,Offline,"ECE – VLSI Design & Technology,CSE – Cloud Technology & Information Security,EEE – Electric Vehicles / Microgrid Technologies,Mechanical Engineering – Robotics,CSE – Artificial Intelligence & Data Engineering",1640,569,80,160
2016,Varughese-Khalsa,c71d5542-114f-493d-a82b-903a86c35fe6,Online,"CSE – AI-Driven DevOps,EEE – Electric Vehicles / Microgrid Technologies,Computer Science & Engineering (CSE),Computer Science & Business Systems,CSE – Artificial Intelligence",298,771,228,196
2016,Ramanathan-Ganesh,75673917-7ab4-43c3-b6df-b436bc58179a,Offline,"CSE – Artificial Intelligence & Machine Learning,Mechanical Engineering,Civil Engineering,Computer Science & Engineering – Data Science,Mechanical Engineering – Mechatronics",338,1449,106,37
2016,"Pandey, Chadha and Mahal",9f776d89-5e6d-4f68-9512-d7bed5231366,Online,"CSE – AI-Driven DevOps,Civil Engineering – Construction Technology,Civil Engineering,ECE – Robotics,CSE – Internet of Things (IoT)",1404,1134,364,49
2016,Mistry-Baria,707167b5-c7e7-4fe2-972a-dc9ba9c664c9,Offline,"CSE – Artificial Intelligence,Computer Science & Engineering – Data Science,Electronics & Communication Engineering (ECE),EEE – Electric Vehicles / Microgrid Technologies,Mechanical Engineering",1110,436,441,180
2016,Wali LLC,eac9bf3a-1029-4797-a60a-09a3af1e9a35,Online,"ECE – VLSI Design & Technology,Computer Science & Business Systems,Mechanical Engineering,CSE – Cloud Technology & Information Security,CSE – AI-Driven DevOps",1446,1142,139,156
2016,"Magar, Anand and Dara",bc102992-b850-4f68-8f6d-63a444e91aca,Offline,"Computer Science & Engineering (CSE),Computer Science & Engineering – Data Science,Electronics & Communication Engineering (ECE),Civil Engineering – Construction Technology,CSE – Artificial Intelligence & Data Engineering",264,118,377,99
2016,"Kaul, Gaba and Sidhu",cf08af1b-93e6-434c-9d9a-951c1b6a400b,Offline,"Computer Science & Business Systems,Mechanical Engineering – Mechatronics,Computer Science & Engineering (CSE),Electrical & Electronics Engineering (EEE),ECE – VLSI Design & Technology",1370,294,336,175
2016,Bawa and Sons,d18120f4-610c-4f14-8469-c13fc84f53fa,Offline,"Computer Engineering – Software Engineering,Computer Science & Business Systems,Civil Engineering – Construction Technology,Mechanical Engineering – Mechatronics,Civil Engineering",921,532,241,87
2016,Bobal and Sons,1e68ae62-f090-4f4e-aa8f-509dc0bc8357,Offline,"Mechanical Engineering – Mechatronics,CSE – AI-Driven DevOps,ECE – VLSI Design & Technology,ECE – Robotics,Computer Science & Engineering (CSE)",1658,932,398,153
2016,Batta-Chaudhari,bad84e39-ca65-4e2d-893d-fcda5391b079,Online,"EEE – Electric Vehicles / Microgrid Technologies,ECE – VLSI Design & Technology,Computer Science & Engineering – Data Science,Civil Engineering – Construction Technology,Electronics & Communication Engineering (ECE)",1961,1057,123,151
2016,Sidhu and Sons,f172dcde-8e62-4eed-8e67-34baf9f54e86,Online,"CSE – Artificial Intelligence & Machine Learning,Electrical & Electronics Engineering (EEE),CSE – Blockchain Technology,ECE – Robotics,Mechanical Engineering",1367,314,326,184
2016,"Wagle, Gupta and Sunder",7c6678fd-01eb-454f-8c5c-9e9e0ae9910b,Offline,"CSE – Blockchain Technology,CSE – Internet of Things (IoT),Mechanical Engineering – Robotics,Mechanical Engineering,Civil Engineering – Environmental Geotechnology",1786,889,361,146
2016,Khosla-Kale,8d6dfdee-a398-4b1e-b962-a0d32b2472d1,Online,"ECE – VLSI Design & Technology,Mechanical Engineering,CSE – Internet of Things (IoT),Civil Engineering – Environmental Geotechnology,Computer Engineering – Software Engineering",1310,257,312,122
2016,Randhawa-Warrior,5b28238c-7848-4ab6-9da3-5b827189a328,Offline,"Computer Science & Business Systems,CSE – Cloud Technology & Information Security,Computer Engineering – Software Engineering,Electrical & Electronics Engineering (EEE),CSE – Blockchain Technology",1522,492,242,40
2016,Anand and Sons,5cdba4e2-3240-4349-b266-764dc42b0c30,Online,"EEE – Electric Vehicles / Microgrid Technologies,ECE – VLSI Design & Technology,CSE – Cyber Physical Systems,CSE – AI-Driven DevOps,CSE – Artificial Intelligence & Data Engineering",1737,844,477,81
2016,Chaudhry LLC,05396a5f-f710-493f-8e49-3345feda544b,Online,"Civil Engineering – Construction Technology,ECE – Robotics,CSE – AI-Driven DevOps,Electrical & Electronics Engineering (EEE),Computer Engineering – Software Engineering",728,422,194,96
2016,"Prabhu, Kuruvilla and Nagar",946a639d-1659-42c0-adc9-06b1f36fa144,Offline,"Mechanical Engineering – Robotics,ECE – VLSI Design & Technology,CSE – Cloud Technology & Information Security,Computer Science & Engineering (CSE),CSE – Artificial Intelligence & Data Engineering",1325,370,351,129
2016,"Lad, Panchal and Shroff",98b30371-0a59-473c-9742-56e59bec69f2,Online,"ECE – Robotics,Mechanical Engineering,ECE – VLSI Design & Technology,Mechanical Engineering – Robotics,CSE – Artificial Intelligence",559,300,453,135
2016,"Dara, Virk and Sharaf",918781ef-a1fa-447e-99f7-0bb9ecc662fc,Offline,"CSE – Blockchain Technology,Electrical & Electronics Engineering (EEE),ECE – Robotics,CSE – AI-Driven DevOps,Civil Engineering – Environmental Geotechnology",1167,570,319,47
2016,Sawhney LLC,36adadd0-36c2-4192-9b96-3dd95de58129,Offline,"Civil Engineering – Construction Technology,CSE – Mobile Applications & Cloud Technology,Mechanical Engineering – Robotics,CSE – Internet of Things (IoT),CSE – Artificial Intelligence & Machine Learning",420,826,396,65
2016,Issac Group,e2de7629-90e1-47bc-9ed9-ec67f6c63f00,Offline,"CSE – Cyber Physical Systems,CSE – AI-Driven DevOps,Mechanical Engineering – Mechatronics,CSE – Mobile Applications & Cloud Technology,CSE – Blockchain Technology",657,1220,167,141
2016,Oza-Shan,47c966c1-a135-4f6f-a1f5-5a7a1529d225,Offline,"CSE – Mobile Applications & Cloud Technology,CSE – Cyber Physical Systems,Computer Science & Engineering (CSE),Mechanical Engineering – Robotics,CSE – AI-Driven DevOps",1127,476,314,76
2016,Shah PLC,28615f9a-8d20-450e-8733-84d97deb76b0,Online,"CSE – Mobile Applications & Cloud Technology,CSE – Internet of Things (IoT),CSE – Cyber Physical Systems,CSE – Artificial Intelligence & Data Engineering,CSE – Cloud Technology & Information Security",1408,917,76,30
2016,Gole-Rajagopal,267458e9-d597-4240-9417-95a65b96d08d,Offline,"CSE – Artificial Intelligence & Data Engineering,Mechanical Engineering,Mechanical Engineering – Robotics,ECE – Robotics,Computer Science & Engineering – Data Science",1143,522,355,68
2016,"Luthra, Rege and Chokshi",4f449c16-8ecd-4a92-8e31-c1dbf26f6541,Offline,"CSE – Artificial Intelligence & Machine Learning,CSE – Artificial Intelligence & Data Engineering,CSE – Blockchain Technology,CSE – Cloud Technology & Information Security,Civil Engineering – Construction Technology",1922,863,295,162
2016,"Krishna, Batra and Chand",5d107445-1d64-44ed-a5d7-89311e4572e7,Online,"CSE – AI-Driven DevOps,Computer Science & Engineering – Data Science,EEE – Electric Vehicles / Microgrid Technologies,CSE – Internet of Things (IoT),Electrical & Electronics Engineering (EEE)",374,891,250,54
